year,month,day,hour,u_wind,v_wind,wind_speed
2023,1,6,4,-0.2924863,1.6664381,1.6919114018602481
2023,1,6,5,-0.5754811,1.8884916,1.9742287492674344
2023,1,6,6,-1.1705418,1.848355,2.187826416435281
2023,1,6,7,-1.7362928,1.9094666,2.5808478475299568
2023,1,6,8,-1.7636185,1.7137549,2.459127067902215
2023,1,6,9,-1.7274513,1.6099591,2.3613674987663082
2023,1,6,10,-2.4089785,1.8797596,3.0555970280140077
2023,1,6,11,-2.5922499,1.8426151,3.1804071906593427
2023,1,6,12,-2.3688393,1.7638674,2.953409485031038
2023,1,6,13,-2.615223,1.7927551,3.170703695327712
2023,1,6,14,-2.8777275,1.8704367,3.432178454555718
2023,1,6,15,-3.0288973,1.9386597,3.5961952219094417
2023,1,6,16,-3.0304832,1.9318876,3.593886267728937
2023,1,6,17,-3.0962582,2.0133867,3.693310266509545
2023,1,6,18,-3.132224,1.9890099,3.7103891868295933
2023,1,6,19,-3.2735767,1.9457521,3.8081827759133575
2023,1,6,20,-3.5252037,1.9914303,4.048809174436699
2023,1,6,21,-3.789487,2.0294228,4.298693707508044
2023,1,6,22,-3.3390713,2.43956,4.1353173584903224
2023,1,6,23,-3.7302704,2.538498,4.5120825419071044
2023,1,7,0,-4.043751,2.6841564,4.853515829606506
2023,1,7,1,-4.0855694,2.8189583,4.963708590470235
2023,1,7,2,-3.7861414,2.8956614,4.7665208847402765
2023,1,7,3,-3.6074,3.0018263,4.693004941811769
2023,1,7,4,-3.767127,3.2369556,4.966802587789174
2023,1,7,5,-4.078904,3.7044802,5.510048313704921
2023,1,7,6,-4.130045,4.0117636,5.757735505034068
2023,1,7,7,-3.4859877,4.8513446,5.973914485070515
2023,1,7,8,-2.1670732,5.0572205,5.501971032352142
2023,1,7,9,-1.5000048,5.1176877,5.3329861918226635
2023,1,7,10,0.33081436,5.515894,5.5258052858165865
2023,1,7,11,0.5148678,4.842355,4.869649740528961
2023,1,7,12,-0.1543684,3.876728,3.879800257449468
2023,1,7,13,-1.4958105,3.52213,3.826597562203326
2023,1,7,14,-2.638359,3.4380217,4.333697210803825
2023,1,7,15,-3.299632,3.6380749,4.911533427428787
2023,1,7,16,-3.446271,3.7344398,5.081616317923807
2023,1,7,17,-3.3568926,3.527279,4.869335095442849
2023,1,7,18,-3.0858212,3.4208221,4.6069855999687395
2023,1,7,19,-3.0556936,3.3823376,4.558231123710881
2023,1,7,20,-3.0372543,3.3702936,4.536936516285743
2023,1,7,21,-3.0383835,3.1612835,4.384687847331366
2023,1,7,22,-2.0879745,2.7025146,3.415146137361363
2023,1,7,23,-1.8401518,2.6229343,3.20405105420232
2023,1,8,0,-1.7518663,2.1717863,2.7902851905006614
2023,1,8,1,-1.5728321,1.780879,2.3759905144714217
2023,1,8,2,-1.2836161,1.6596107,2.098089140308981
2023,1,8,3,-1.2529812,1.8263407,2.2148322994539975
2023,1,8,4,-1.4189014,2.3771477,2.768413331311339
2023,1,8,5,-0.7017037,3.057623,3.1371079002498328
2023,1,8,6,0.81050307,3.5770679,3.6677417626219695
2023,1,8,7,2.289022,3.6290762,4.290666142609067
2023,1,8,8,2.7564812,2.947101,4.035293475469109
2023,1,8,9,3.0604014,1.9714968,3.6404473193493803
2023,1,8,10,2.250218,0.9273911,2.433831328880939
2023,1,8,11,1.2008345,0.017582119,1.2009632208390801
2023,1,8,12,0.15149915,-0.17873687,0.2343050580086021
2023,1,8,13,-1.3115339,-0.09675312,1.315097871030943
2023,1,8,14,-1.2290945,0.36429405,1.2819451858002036
2023,1,8,15,-1.0076275,0.5209608,1.1343338645169194
2023,1,8,16,-0.8071928,0.5802412,0.9941026477733285
2023,1,8,17,-0.7910347,0.61054504,0.9992502885027996
2023,1,8,18,-1.005825,0.8985678,1.3487431557332286
2023,1,8,19,-1.2347698,1.1617179,1.695359835298885
2023,1,8,20,-1.3292093,1.2539995,1.8273784807131175
2023,1,8,21,-1.4570208,1.3742301,2.0028524631512923
2023,1,8,22,-1.7109785,1.7238998,2.428842958630027
2023,1,8,23,-1.9293509,1.8943357,2.7038680876318746
2023,1,9,0,-2.134181,2.000434,2.925143502968354
2023,1,9,1,-2.2881308,2.101264,3.106582169069459
2023,1,9,2,-2.3412943,2.238512,3.2392275461242797
2023,1,9,3,-2.3370676,2.290226,3.2721583148815343
2023,1,9,4,-2.483286,2.6147175,3.6060305599493403
2023,1,9,5,-1.768115,2.544507,3.0985071915894586
2023,1,9,6,-0.4978056,2.691891,2.7375330727254927
2023,1,9,7,1.0351086,2.5129972,2.7178308302798526
2023,1,9,8,2.0269804,1.9717283,2.8277839608967006
2023,1,9,9,2.7724714,0.83378613,2.8951333525622363
2023,1,9,10,2.2116146,-0.45226097,2.2573832558193985
2023,1,9,11,0.84917927,-1.0203218,1.3274645375469
2023,1,9,12,-0.085754454,-1.2304258,1.233410540328107
2023,1,9,13,-0.29287815,-1.2084265,1.2434114998855113
2023,1,9,14,-0.57198524,-0.8166504,0.9970381039462833
2023,1,9,15,-0.045137405,-0.67730236,0.6788047384569967
2023,1,9,16,0.32103157,-0.33835316,0.46641626054090435
2023,1,9,17,-0.2729931,-0.45175838,0.5278360201050227
2023,1,9,18,-0.53966427,-0.6271658,0.8273901475844098
2023,1,9,19,-0.7897301,-0.69192314,1.0499672472843657
2023,1,9,20,-0.9182682,-0.52609444,1.058296674028934
2023,1,9,21,-0.6404438,-0.45148087,0.783583585368905
2023,1,9,22,-0.32722473,-0.6862297,0.7602547165301157
2023,1,9,23,0.8754425,-1.2234373,1.5043930434090058
2023,1,10,0,1.9936914,-1.9141808,2.7638548334942263
2023,1,10,1,2.976429,-2.9523926,4.192344384907071
2023,1,10,2,1.6244279,-2.2876778,2.805750453226157
2023,1,10,3,-1.0767317,-0.64163876,1.2534158956967958
2023,1,10,4,-0.019407392,-0.4196539,0.42010241174200447
2023,1,10,5,2.3297968,-1.3608313,2.6981131940224743
2023,1,10,6,2.7529552,-1.7773056,3.276824305685783
2023,1,10,7,1.8250396,-1.632904,2.448906955943639
2023,1,10,8,0.97055364,-1.540142,1.8204427824921179
2023,1,10,9,0.9552305,-1.711669,1.9601724199828143
2023,1,10,10,0.4267248,-1.690794,1.7438114485246983
